loc_rowid,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_dens,st_dist,gaia_dist,st_optmag,gaia_gmag,st_teff,st_mass,st_rad,pl_rvamp,pl_eqt,pl_bmasse,pl_rade,pl_trandep,pl_trandur,pl_mnum,st_radv,st_logg,st_lum,st_dens,st_metfe,st_age,st_vsini
183,3,12.91400000,0.072100,0.000000,,,6.30,6.30,10.560,9.411,,0.31,0.29,3.300,,5.50000,,,,0,-9.21,,-1.886,,-0.250,2.000,2.1000
184,3,3.14900000,0.028150,0.000000,,,6.30,6.30,10.560,9.411,,0.31,0.29,1.700,,1.70000,,,,0,-9.21,,-1.886,,-0.250,2.000,2.1000
185,1,14.62800000,0.078361,0.130000,,,6.49,6.47,10.100,9.137,3499.00,0.30,0.31,1.670,,2.82000,,,,0,-12.85,4.94,-1.894,,-0.380,,0.2000
186,1,598.30000000,1.135000,0.300000,,,10.38,10.38,9.690,8.819,3700.00,0.54,,12.400,,104.24400,,,,0,4.30,,,,0.080,,
187,5,7.20040000,0.050500,0.130000,,,6.80,7.25,10.220,9.380,3350.00,0.33,,3.930,,5.60000,,,,0,6.50,4.69,-1.863,,-0.550,2.000,
188,5,28.14000000,0.125000,0.020000,,,6.80,7.25,10.220,9.380,3350.00,0.33,,1.710,,3.80000,,,,0,6.50,4.69,-1.863,,-0.550,2.000,
189,5,62.24000000,0.213000,0.020000,,,6.80,7.25,10.220,9.380,3350.00,0.33,,0.920,,2.70000,,,,0,6.50,4.69,-1.863,,-0.550,2.000,
190,5,39.02600000,0.156000,0.030000,,,6.80,7.25,10.220,9.380,3350.00,0.33,,1.080,,2.70000,,,,0,6.50,4.69,-1.863,,-0.550,2.000,
191,5,256.20000000,0.549000,0.080000,,,6.80,7.25,10.220,9.380,3350.00,0.33,,0.950,,4.60000,,,,0,6.50,4.69,-1.863,,-0.550,2.000,
192,1,4.69380000,0.039000,0.200000,,,4.55,4.55,9.370,8.331,3600.00,0.35,,8.700,,11.09000,,,,0,,,-1.796,,-0.280,0.550,1.0000
193,4,1056.80005000,1.820000,0.330000,,,16.03,16.03,9.580,8.865,3734.00,0.73,0.69,129.300,,1576.43680,,,,0,-39.04,4.62,,,0.080,,1.6000
194,4,7337.00000000,6.600000,,,,16.03,16.03,9.580,8.865,3734.00,0.73,0.69,88.700,,2161.24400,,,,0,-39.04,4.62,,,0.080,,1.6000
195,4,3.60050000,,0.262000,,,16.03,16.03,9.580,8.865,3734.00,0.73,0.69,2.400,,4.40000,,,,0,-39.04,4.62,,,0.080,,1.6000
196,4,35.39000000,,0.125000,,,16.03,16.03,9.580,8.865,3734.00,0.73,0.69,2.000,,8.10000,,,,0,-39.04,4.62,,,0.080,,1.6000
197,2,17.47800000,0.080000,0.080000,,,5.01,5.01,10.970,9.570,3028.00,0.27,,2.990,,4.40000,,,,0,,,-2.699,,,,
